product_id,category,coverage,fill,contrast,garment_pixels,name,note
MS4636893,bottom,0.3449,0.6385,69.2,271265,Mermaid of the City Dress (Cream),
MS3774997,bottom,0.3459,0.65,110.8,271996,우먼즈 레귤러 핏 데님 팬츠 [라이트 인디고],
MS3225860,bottom,0.3497,0.7984,46.0,275005,린넨 쇼츠 팬츠 (화이트),
MS6702426,bottom,0.351,0.8024,153.2,276013,테크 헬리오스 드라이 핏 팬츠 M - 라이트 아미:블랙 / IF1283-320,
MS6837145,bottom,0.3511,0.8282,234.6,276147,폴디드 밴딩 셔링 스커트_MIWWMG916C,
MS6666754,top,0.3533,0.7493,43.5,277830,스타도트 홀터넥 레이어드 나시_SPRNG26G99,
MS6914789,top,0.3571,0.5485,124.6,280870,홀터 레이어드 긴팔 티셔츠_MIWLWG911A,
MS6210163,bottom,0.3589,0.8425,192.9,282239,포멀 슬릿 H라인 맥시 스커트 그레이베이지 COWSK002GBEIGE,
MS6890037,top,0.3615,0.8346,228.8,284265,스튜디오 플리스 라이트웨이트 크루 W - 토탈 블랙:세일 / IM8113-001,
MS5795942,bottom,0.3617,0.6574,234.6,284468,우먼즈 탱크 탑 콤비 드레스 [블랙],
MS7076570,bottom,0.3623,0.625,57.4,284916,cotton veil skirt pale blue,
MS6979710,bottom,0.3674,0.7756,216.5,288896,Distressed Bootcut Jeans (black),
MS6111131,bottom,0.3677,0.8056,167.4,289198,DEN765 Raw Routine Wide Chino (Olive Charcoal),
MS6266331,bottom,0.3687,0.7991,222.9,289955,이지 밴딩 맥시 스커트 [BLACK] / GF2LSK514,
MS4664068,bottom,0.3721,0.8605,28.3,292611,우먼즈 린넨 라이크 밴딩 롱 스커트 [화이트],
